Date,Open,High,Low,Close,Volume
3-Sep-15,4.22,4.35,4.22,4.26,190335
2-Sep-15,4.30,4.30,4.16,4.25,511117
1-Sep-15,4.38,4.40,4.22,4.25,654908
31-Aug-15,4.34,4.57,4.29,4.52,1073241
28-Aug-15,4.26,4.47,4.26,4.42,427726
27-Aug-15,4.21,4.35,4.20,4.33,1067474
26-Aug-15,4.02,4.09,3.97,4.09,447814
25-Aug-15,4.08,4.08,3.95,3.98,690875
24-Aug-15,3.76,3.91,3.70,3.82,1622643
21-Aug-15,4.08,4.10,3.98,3.98,828463
20-Aug-15,4.18,4.20,4.14,4.15,381314
19-Aug-15,4.28,4.29,4.17,4.18,689260
18-Aug-15,4.30,4.32,4.28,4.29,372567
17-Aug-15,4.36,4.38,4.32,4.34,333998
14-Aug-15,4.43,4.46,4.39,4.39,279536
13-Aug-15,4.40,4.41,4.35,4.37,194560
12-Aug-15,4.39,4.44,4.34,4.44,295137
11-Aug-15,4.40,4.40,4.33,4.37,409758
10-Aug-15,4.30,4.47,4.29,4.45,673247
7-Aug-15,4.34,4.39,4.31,4.35,412223
6-Aug-15,4.34,4.38,4.30,4.36,382082
5-Aug-15,4.54,4.56,4.42,4.46,991834
4-Aug-15,4.46,4.51,4.42,4.45,556366
3-Aug-15,4.45,4.50,4.38,4.40,609116
31-Jul-15,4.61,4.64,4.57,4.59,313143
30-Jul-15,4.66,4.66,4.61,4.62,309164
29-Jul-15,4.55,4.67,4.53,4.64,5240220
28-Jul-15,4.44,4.47,4.38,4.46,349027
27-Jul-15,4.46,4.52,4.43,4.45,521581
24-Jul-15,4.64,4.65,4.60,4.62,340050
23-Jul-15,4.79,4.80,4.71,4.71,522947
22-Jul-15,4.86,4.89,4.80,4.82,359406
21-Jul-15,4.96,4.97,4.92,4.94,257365
20-Jul-15,4.93,4.96,4.90,4.92,369000
17-Jul-15,5.05,5.07,5.00,5.01,200857
16-Jul-15,5.04,5.07,5.03,5.03,306566
15-Jul-15,5.00,5.01,4.92,4.96,410067
14-Jul-15,5.07,5.15,5.07,5.14,306035
13-Jul-15,5.06,5.14,5.04,5.09,275553
10-Jul-15,5.05,5.12,5.05,5.11,285100
9-Jul-15,4.97,5.01,4.96,4.96,255221
8-Jul-15,4.88,4.91,4.84,4.86,345188
7-Jul-15,4.99,5.05,4.88,5.04,669890
6-Jul-15,5.04,5.05,4.96,4.98,583460
2-Jul-15,5.23,5.27,5.22,5.22,381316
1-Jul-15,5.25,5.26,5.16,5.17,180932
30-Jun-15,5.12,5.28,5.10,5.27,449207
29-Jun-15,5.16,5.18,5.07,5.08,501599
26-Jun-15,5.22,5.27,5.20,5.26,252098
25-Jun-15,5.31,5.32,5.23,5.25,266339
24-Jun-15,5.37,5.39,5.30,5.31,2057398
23-Jun-15,5.36,5.44,5.34,5.44,278309
22-Jun-15,5.47,5.49,5.45,5.47,417946
19-Jun-15,5.40,5.44,5.37,5.38,353173
18-Jun-15,5.48,5.52,5.43,5.48,349368
17-Jun-15,5.42,5.49,5.37,5.47,343776
